site;collecte;antenne;lat;long
Lancière;FR45005;Lancière;47.81602204088411;2.842896594693208
Dalot;FR45004;Dalot;47.823983847473706;2.842740988324598
Milleron;FR45003;Milleron;47.82611094408177;2.84595279327955
Ronce;FR45002;Ronce amont;47.82872582272857;2.8387201627277547
Ronce;FR45001;Ronce aval;47.82879591137527;2.8381570792459585
